Transaction_ID,Date,Customer_ID,Product_Category,Quantity,Unit_Price,Payment_Method,Return_Status,Customer_Age,Total_Spent
T2027,2026-01-02,C3734,Beauty,7,301.44,E-wallet,No,66.0,2110.08
T2028,2026-01-02,C4005,Grocery,1,312.14,Credit Card,Yes,52.0,312.14
T2029,2026-01-02,C5658,Home,7,310.34,Debit Card,No,57.0,2172.38
T2030,2026-01-02,C2899,Clothing,3,156.43,Debit Card,Yes,31.0,469.29
T2031,2026-01-02,C8734,Clothing,8,468.25,Debit Card,No,52.0,3746.0
T2032,2026-01-02,C2267,Home,3,474.2,Credit Card,Yes,65.0,1422.6
T2033,2026-01-02,C2528,Home,1,316.4,E-wallet,Yes,62.0,316.4
T2034,2026-01-02,C4556,Beauty,8,393.88,Credit Card,No,37.0,3151.04
T2035,2026-01-02,C4890,Beauty,3,310.01,Debit Card,Yes,73.0,930.03
T2036,2026-01-02,C9838,Clothing,2,247.36,Debit Card,Yes,66.0,494.72
T2037,2026-01-02,C6393,Grocery,1,333.8,Credit Card,Yes,30.0,333.8
T2038,2026-01-02,C9792,Clothing,3,280.97,E-wallet,No,55.0,842.91
T2039,2026-01-02,C9433,Grocery,2,302.76,Credit Card,Yes,46.72783505154639,605.52
T2040,2026-01-02,C8513,Grocery,2,394.08,Debit Card,Yes,63.0,788.16
T2041,2026-01-02,C3612,Beauty,6,245.64,Credit Card,No,66.0,1473.84
T2042,2026-01-02,C8041,Electronics,1,29.97,Debit Card,No,25.0,29.97
T2043,2026-01-02,C7235,Electronics,2,90.36,Debit Card,No,60.0,180.72
T2044,2026-01-02,C6486,Home,6,224.92,E-wallet,Yes,37.0,1349.52
T2045,2026-01-02,C8099,Beauty,3,365.17,E-wallet,Yes,50.0,1095.51
T2046,2026-01-02,C1775,Grocery,4,300.71,Credit Card,Yes,43.0,1202.84
T2047,2026-01-02,C9226,Electronics,1,328.64,Credit Card,No,56.0,328.64
T2048,2026-01-03,C4152,Grocery,8,244.85,E-wallet,Yes,38.0,1958.8
T2049,2026-01-03,C2585,Electronics,7,311.71,Debit Card,Yes,70.0,2181.97
T2050,2026-01-03,C4943,Electronics,7,171.22,E-wallet,No,46.72783505154639,99999.99
T2051,2026-01-03,C8555,Electronics,3,240.39,Debit Card,No,59.0,721.17
T2052,2026-01-03,C4073,Beauty,3,374.7,Credit Card,No,60.0,1124.1
T2053,2026-01-03,C2021,Clothing,2,437.2,Credit Card,No,71.0,874.4
T2054,2026-01-03,C4843,Grocery,1,222.49,Debit Card,No,58.0,222.49
T2055,2026-01-03,C8989,Beauty,7,31.39,Credit Card,Yes,26.0,219.73
T2056,2026-01-03,C7873,Beauty,7,89.22,Debit Card,No,41.0,624.54
T2057,2026-01-03,C6675,Beauty,2,20.22,Cash,Yes,54.0,40.44
T2058,2026-01-03,C1161,Beauty,7,330.1,E-wallet,Yes,66.0,2310.7
T2059,2026-01-03,C5297,Beauty,8,172.83,Cash,No,58.0,1382.64
T2060,2026-01-03,C1995,Home,1,275.81,Debit Card,No,34.0,275.81
T2061,2026-01-03,C8629,Grocery,9,251.71,E-wallet,No,41.0,2265.39
T2062,2026-01-03,C2016,Beauty,7,49.95,Debit Card,Yes,38.0,349.65
T2063,2026-01-03,C8869,Grocery,3,207.6,E-wallet,No,68.0,622.8
T2064,2026-01-03,C7439,Home,8,118.07,E-wallet,No,56.0,944.56
T2065,2026-01-03,C8892,Home,7,215.02,E-wallet,No,72.0,1505.14
T2066,2026-01-03,C7863,Grocery,8,109.75,E-wallet,No,58.0,878.0
T2067,2026-01-03,C8916,Electronics,6,421.82,Debit Card,No,56.0,2530.92
T2068,2026-01-03,C9529,Clothing,9,95.35,E-wallet,Yes,46.72783505154639,858.15
T2069,2026-01-03,C1878,Electronics,5,480.78,E-wallet,Yes,28.0,2403.9
T2070,2026-01-03,C5887,Electronics,3,213.79,Cash,Yes,63.0,641.37
T2071,2026-01-03,C5859,Electronics,3,424.66,Debit Card,No,36.0,1273.98
T2072,2026-01-04,C7331,Beauty,1,318.09,Credit Card,No,28.0,318.09
T2073,2026-01-04,C9571,Home,8,370.32,Cash,No,30.0,2962.56
T2074,2026-01-04,C9684,Electronics,2,386.18,Cash,Yes,63.0,772.36
T2075,2026-01-04,C8208,Home,3,257.37,Debit Card,No,62.0,772.11
T2076,2026-01-04,C6276,Grocery,8,276.22,Debit Card,No,18.0,2209.76
T2077,2026-01-04,C3062,Clothing,8,261.86,Debit Card,No,57.0,2094.88
T2078,2026-01-04,C1064,Grocery,4,298.15,Cash,Yes,61.0,1192.6
T2079,2026-01-04,C9006,Grocery,4,24.4,Cash,No,36.0,97.6
T2080,2026-01-04,C3568,Beauty,5,203.8,E-wallet,Yes,29.0,1019.0
T2081,2026-01-04,C6463,Clothing,6,307.03,Debit Card,No,46.72783505154639,1842.18
T2082,2026-01-04,C3027,Grocery,5,302.88,Debit Card,Yes,25.0,1514.4
T2083,2026-01-04,C3695,Grocery,7,398.55,Debit Card,Yes,70.0,2789.85
T2084,2026-01-04,C6258,Clothing,2,330.95,Credit Card,Yes,62.0,661.9
T2085,2026-01-04,C6618,Clothing,7,496.15,E-wallet,No,29.0,3473.05
T2086,2026-01-04,C7736,Grocery,7,149.09,Debit Card,No,65.0,1043.63
T2087,2026-01-04,C1391,Clothing,1,185.98,Debit Card,Yes,50.0,185.98
T2088,2026-01-04,C6892,Grocery,7,198.09,Debit Card,Yes,62.0,1386.63
T2089,2026-01-04,C4561,Grocery,5,238.25,Credit Card,No,43.0,1191.25
T2090,2026-01-04,C7184,Beauty,3,419.64,Credit Card,No,56.0,1258.92
T2091,2026-01-04,C4099,Electronics,3,125.54,Cash,Yes,45.0,376.62
T2092,2026-01-04,C7278,Grocery,4,390.24,E-wallet,No,22.0,1560.96
T2093,2026-01-04,C9392,Home,2,208.6,Cash,No,25.0,417.2
T2094,2026-01-04,C4104,Electronics,2,304.91,E-wallet,No,42.0,609.82
T2095,2026-01-04,C8215,Electronics,1,319.94,Credit Card,No,44.0,319.94
T2096,2026-01-05,C3454,Electronics,5,192.7,Debit Card,Yes,63.0,963.5
T2097,2026-01-05,C9996,Beauty,4,261.18,Cash,No,40.0,1044.72
T2098,2026-01-05,C3731,Grocery,2,212.39,Debit Card,No,47.0,424.78
T2099,2026-01-05,C9154,Beauty,3,43.88,Cash,Yes,62.0,131.64
T2100,2026-01-05,C6056,electrnics,7,224.21,Debit Card,Yes,64.0,1569.47
T2101,2026-01-05,C9110,Beauty,7,57.72,Credit Card,No,40.0,404.04
T2102,2026-01-05,C4840,Beauty,4,208.46,Credit Card,No,66.0,833.84
T2103,2026-01-05,C2028,Home,5,300.53,Cash,No,64.0,1502.65
T2104,2026-01-05,C8385,Beauty,5,293.91,E-wallet,No,37.0,1469.55
T2105,2026-01-05,C1502,Clothing,6,334.68,Cash,Yes,35.0,2008.08
T2106,2026-01-05,C7910,Home,9,56.68,E-wallet,Yes,35.0,510.12
T2107,2026-01-05,C7938,Beauty,2,329.54,Cash,Yes,19.0,659.08
T2108,2026-01-05,C5488,Electronics,5,162.95,Cash,No,21.0,814.75
T2109,2026-01-05,C1206,Clothing,3,205.53,Credit Card,No,47.0,616.59
T2110,2026-01-05,C6134,Clothing,4,430.41,Debit Card,No,50.0,1721.64
T2111,2026-01-05,C6977,Clothing,6,14.42,Debit Card,No,53.0,86.52
T2112,2026-01-05,C8721,Home,8,298.32,E-wallet,Yes,35.0,2386.56
T2113,2026-01-05,C8035,Beauty,1,303.37,Debit Card,Yes,54.0,303.37
T2114,2026-01-05,C2484,Beauty,8,204.36,Cash,No,36.0,1634.88
T2115,2026-01-05,C8858,Electronics,7,126.14,Cash,Yes,46.72783505154639,882.98
T2116,2026-01-05,C1863,Electronics,1,124.99,Credit Card,No,45.0,124.99
T2117,2026-01-05,C3790,Clothing,2,443.02,Credit Card,No,57.0,886.04
T2118,2026-01-05,C8408,Electronics,3,226.59,Debit Card,Yes,37.0,679.77
T2119,2026-01-05,C9755,Home,1,172.14,E-wallet,No,66.0,172.14
T2120,2026-01-06,C6116,Beauty,9,229.9,Debit Card,No,50.0,2069.1
T2121,2026-01-06,C7019,Clothing,8,338.0,Debit Card,Yes,29.0,2704.0
T2122,2026-01-06,C2757,Electronics,2,81.42,Debit Card,No,68.0,162.84
T2123,2026-01-06,C8574,Home,9,230.22,Debit Card,No,32.0,2071.98
T2124,2026-01-06,C7374,Home,7,298.06,Cash,Yes,58.0,2086.42
T2125,2026-01-06,C7892,Electronics,9,474.81,E-wallet,No,56.0,4273.29
T2126,2026-01-06,C2678,Beauty,6,133.74,Cash,Yes,19.0,802.44
T2127,2026-01-06,C4242,Electronics,6,186.03,E-wallet,No,46.72783505154639,1116.18
T2128,2026-01-06,C5636,Clothing,4,195.89,Credit Card,Yes,58.0,783.56
T2129,2026-01-06,C2059,Electronics,2,306.71,Debit Card,Yes,27.0,613.42
T2130,2026-01-06,C7668,Home,7,184.8,Cash,Yes,19.0,1293.6
T2131,2026-01-06,C4157,Electronics,5,271.42,E-wallet,No,68.0,1357.1
T2132,2026-01-06,C6915,Beauty,6,393.08,Credit Card,Yes,28.0,2358.48
T2133,2026-01-06,C3693,Grocery,2,355.64,Credit Card,Yes,30.0,711.28
T2134,2026-01-06,C4627,Electronics,5,228.72,Debit Card,Yes,27.0,1143.6
T2135,2026-01-06,C6450,Beauty,4,433.47,E-wallet,Yes,31.0,1733.88
T2136,2026-01-06,C2663,Beauty,9,283.49,Cash,Yes,35.0,2551.41
T2137,2026-01-06,C6592,Home,6,274.55,Debit Card,No,68.0,1647.3
T2138,2026-01-06,C8392,Beauty,2,26.75,Cash,No,71.0,53.5
T2139,2026-01-06,C2306,Beauty,1,493.48,Credit Card,No,26.0,493.48
T2140,2026-01-06,C7776,Beauty,5,70.26,Cash,No,74.0,351.3
T2141,2026-01-06,C6864,Beauty,9,123.25,Cash,No,56.0,1109.25
T2142,2026-01-06,C8526,Clothing,6,35.33,Debit Card,No,45.0,211.98
T2143,2026-01-06,C9901,Clothing,7,323.6,Cash,No,20.0,2265.2
T2144,2026-01-07,C6575,Home,5,120.1,Debit Card,Yes,37.0,600.5
T2145,2026-01-07,C6530,Electronics,6,98.21,Credit Card,No,23.0,589.26
T2146,2026-01-07,C5413,Beauty,5,53.39,Debit Card,Yes,44.0,266.95
T2147,2026-01-07,C4748,Electronics,9,60.62,Debit Card,Yes,70.0,545.58
T2148,2026-01-07,C1663,Electronics,6,296.49,E-wallet,No,19.0,1778.94
T2149,2026-01-07,C2998,Home,8,347.22,Cash,Yes,46.0,2777.76
T2150,2026-01-07,C8994,Beauty,2,204.72,Credit Card,Yes,55.0,409.44
T2151,2026-01-07,C2495,Beauty,9,245.15,Debit Card,Yes,20.0,2206.35
T2152,2026-01-07,C4304,Grocery,5,346.12,Credit Card,Yes,33.0,1730.6
T2153,2026-01-07,C4763,Electronics,7,18.52,E-wallet,No,47.0,129.64
T2154,2026-01-07,C6232,Electronics,1,168.33,Cash,No,57.0,168.33
T2155,2026-01-07,C2853,Clothing,5,486.82,Debit Card,No,19.0,2434.1
T2156,2026-01-07,C7585,Grocery,2,294.25,Cash,No,34.0,588.5
T2157,2026-01-07,C2291,Clothing,6,134.57,E-wallet,No,58.0,807.42
T2158,2026-01-07,C4581,Clothing,1,265.65,E-wallet,No,29.0,265.65
T2159,2026-01-07,C8554,Clothing,3,177.9,Credit Card,No,52.0,533.7
T2160,2026-01-07,C8280,Home,5,270.8,Debit Card,No,60.0,1354.0
T2161,2026-01-07,C2636,Home,4,71.61,Credit Card,No,18.0,286.44
T2162,2026-01-07,C4696,Clothing,3,75.03,E-wallet,No,72.0,225.09
T2163,2026-01-07,C1698,Grocery,5,80.34,Cash,Yes,62.0,401.7
T2164,2026-01-07,C5737,Electronics,8,470.51,Credit Card,No,32.0,3764.08
T2165,2026-01-07,C1854,Grocery,4,369.12,Credit Card,Yes,43.0,1476.48
T2166,2026-01-07,C9164,Beauty,1,89.57,Cash,Yes,46.72783505154639,89.57
T2167,2026-01-07,C6855,Home,7,102.29,Credit Card,Yes,38.0,716.03
T2168,2026-01-08,C8392,Electronics,8,368.11,Cash,Yes,66.0,2944.88
T2169,2026-01-08,C7528,Electronics,3,86.52,Debit Card,No,48.0,259.56
T2170,2026-01-08,C6249,Beauty,6,124.94,Debit Card,Yes,42.0,749.64
T2171,2026-01-08,C6172,Beauty,2,482.04,Debit Card,No,40.0,964.08
T2172,2026-01-08,C2707,Clothing,7,135.1,Cash,No,41.0,945.7
T2173,2026-01-08,C6791,Home,8,334.2,E-wallet,Yes,74.0,2673.6
T2174,2026-01-08,C6535,Home,6,489.53,E-wallet,No,55.0,2937.18
T2175,2026-01-08,C5931,Grocery,6,193.41,Debit Card,Yes,45.0,1160.46
T2176,2026-01-08,C4510,Clothing,5,18.58,Debit Card,Yes,38.0,92.9
T2177,2026-01-08,C1202,Clothing,8,129.63,E-wallet,No,71.0,1037.04
T2178,2026-01-08,C5218,Clothing,1,417.13,Debit Card,No,60.0,417.13
T2179,2026-01-08,C9958,Clothing,4,433.66,Cash,Yes,46.72783505154639,1734.64
T2180,2026-01-08,C5389,Home,4,386.57,Cash,No,53.0,1546.28
T2181,2026-01-08,C3327,Home,3,65.42,E-wallet,No,52.0,196.26
T2182,2026-01-08,C9004,Clothing,3,399.8,Credit Card,No,62.0,1199.4
T2183,2026-01-08,C3931,Grocery,4,460.15,Cash,Yes,72.0,1840.6
T2184,2026-01-08,C8777,Electronics,1,304.3,Debit Card,Yes,26.0,304.3
T2185,2026-01-08,C1197,Electronics,2,471.03,Credit Card,No,70.0,942.06
T2186,2026-01-08,C8125,Grocery,9,415.15,Credit Card,No,55.0,3736.35
T2187,2026-01-08,C2930,Clothing,2,336.82,Cash,No,47.0,673.64
T2188,2026-01-08,C7287,Home,5,292.82,Cash,No,61.0,1464.1
T2189,2026-01-08,C9800,Electronics,9,180.8,Credit Card,No,51.0,1627.2
T2190,2026-01-08,C5282,Beauty,9,88.05,Credit Card,Yes,49.0,792.45
T2191,2026-01-08,C3511,Beauty,8,306.43,E-wallet,No,20.0,2451.44
T2192,2026-01-09,C1659,Grocery,1,165.87,Debit Card,Yes,20.0,165.87
T2193,2026-01-09,C3811,Clothing,1,434.55,E-wallet,No,45.0,434.55
T2194,2026-01-09,C8098,Electronics,9,496.74,Cash,Yes,61.0,4470.66
T2195,2026-01-09,C7546,Clothing,8,378.69,E-wallet,No,32.0,3029.52
T2196,2026-01-09,C2986,Electronics,9,54.34,E-wallet,Yes,58.0,489.06
T2197,2026-01-09,C9338,Grocery,7,151.46,E-wallet,No,40.0,1060.22
T2198,2026-01-09,C3911,Grocery,3,63.46,E-wallet,Yes,57.0,190.38
T2199,2026-01-09,C2734,Beauty,3,328.75,Debit Card,Yes,28.0,986.25
T2200,2026-01-09,C2843,Clothing,2,384.94,Debit Card,Yes,65.0,769.88
T2201,2026-01-09,C9680,Beauty,5,463.58,Credit Card,Yes,49.0,2317.9
T2202,2026-01-09,C3976,Clothing,3,224.7,Cash,Yes,74.0,674.1
T2203,2026-01-09,C2959,Beauty,6,451.67,E-wallet,Yes,71.0,2710.02
T2204,2026-01-09,C6759,Home,2,440.17,Credit Card,No,53.0,880.34
T2205,2026-01-09,C7694,Home,3,165.43,Credit Card,Yes,50.0,496.29
T2206,2026-01-09,C3385,Home,5,435.76,Credit Card,No,41.0,2178.8
T2207,2026-01-09,C5736,Home,1,194.08,Debit Card,No,56.0,194.08
T2208,2026-01-09,C2802,Electronics,1,155.47,E-wallet,No,51.0,155.47
T2209,2026-01-09,C9155,Home,9,328.05,E-wallet,No,73.0,2952.45
T2210,2026-01-09,C9120,Grocery,7,170.91,Cash,No,45.0,1196.37
T2211,2026-01-09,C7616,Grocery,1,318.8,E-wallet,Yes,54.0,318.8
T2212,2026-01-09,C6534,Electronics,8,308.82,E-wallet,Yes,24.0,2470.56
T2213,2026-01-09,C5061,Home,3,286.09,Credit Card,Yes,21.0,858.27
T2214,2026-01-09,C1262,Home,8,196.41,Cash,No,54.0,1571.28
T2215,2026-01-09,C7287,Home,5,278.76,E-wallet,Yes,73.0,1393.8
T2216,2026-01-10,C9815,Beauty,1,302.28,Debit Card,Yes,18.0,302.28
T2217,2026-01-10,C3049,Clothing,7,277.39,E-wallet,Yes,18.0,1941.73
T2218,2026-01-10,C6423,Beauty,5,227.77,Credit Card,Yes,64.0,1138.85
T2219,2026-01-10,C5548,Clothing,6,17.19,Debit Card,Yes,37.0,103.14
T2220,2026-01-10,C4108,Home,6,297.66,Credit Card,No,36.0,1785.96
T2221,2026-01-10,C8158,Home,8,92.54,E-wallet,Yes,46.0,740.32
T2222,2026-01-10,C8400,Beauty,9,324.86,Debit Card,No,27.0,2923.74
T2223,2026-01-10,C4170,Beauty,2,382.08,Cash,No,35.0,764.16
T2224,2026-01-10,C3255,Clothing,9,255.22,Cash,No,45.0,2296.98
T2225,2026-01-10,C2154,Grocery,9,275.76,Debit Card,No,52.0,2481.84
T2226,2026-01-10,C5499,Clothing,7,476.22,Debit Card,No,60.0,3333.54
T2227,2026-01-10,C7295,Beauty,1,425.11,Credit Card,Yes,64.0,425.11
T2228,2026-01-10,C7197,Beauty,7,457.98,Debit Card,Yes,48.0,3205.86
T2229,2026-01-10,C2648,Electronics,5,408.75,Credit Card,Yes,44.0,2043.75
T2230,2026-01-10,C6539,Beauty,6,63.37,E-wallet,No,28.0,380.22
T2231,2026-01-10,C5199,Electronics,7,83.01,Credit Card,Yes,66.0,581.07
T2232,2026-01-10,C9445,Grocery,5,268.05,Debit Card,Yes,66.0,1340.25
T2233,2026-01-10,C3557,Clothing,7,130.57,Debit Card,No,55.0,913.99
T2234,2026-01-10,C6592,Clothing,9,243.58,E-wallet,No,22.0,2192.22
T2235,2026-01-10,C1098,Electronics,3,203.24,Debit Card,No,25.0,609.72
T2236,2026-01-10,C3200,Clothing,8,279.21,Debit Card,No,51.0,2233.68
T2237,2026-01-10,C3961,Beauty,2,375.97,Cash,Yes,65.0,751.94
T2238,2026-01-10,C5973,Home,7,360.59,Cash,No,69.0,2524.13
T2239,2026-01-10,C5433,Electronics,2,265.4,E-wallet,No,73.0,530.8
T2240,2026-01-11,C3869,Clothing,4,412.97,Credit Card,Yes,29.0,1651.88
T2241,2026-01-11,C1956,Electronics,7,221.12,Cash,Yes,46.72783505154639,1547.84
T2242,2026-01-11,C9352,Electronics,3,449.39,Debit Card,No,18.0,1348.17
T2243,2026-01-11,C6699,Home,2,44.93,Debit Card,Yes,48.0,89.86
T2244,2026-01-11,C7944,Beauty,7,477.78,Cash,No,21.0,3344.46
T2245,2026-01-11,C5493,Electronics,1,330.8,E-wallet,No,66.0,330.8
T2246,2026-01-11,C5911,Clothing,8,196.24,E-wallet,Yes,62.0,1569.92
T2247,2026-01-11,C4987,Grocery,3,106.61,E-wallet,Yes,67.0,319.83
T2248,2026-01-11,C7015,Electronics,2,244.8,Cash,No,46.72783505154639,489.6
T2249,2026-01-11,C2218,Electronics,3,105.33,Credit Card,No,47.0,315.99
T2250,2026-01-11,C5496,Home,5,91.5,Debit Card,No,73.0,457.5
T2251,2026-01-11,C5735,Beauty,8,312.5,Credit Card,Yes,41.0,2500.0
T2252,2026-01-11,C5555,Grocery,7,266.31,Credit Card,No,20.0,1864.17
T2253,2026-01-11,C9050,Clothing,7,338.35,Debit Card,No,28.0,2368.45
T2254,2026-01-11,C4446,Grocery,7,465.51,Debit Card,No,62.0,3258.57
T2255,2026-01-11,C2045,Clothing,8,270.81,Cash,No,21.0,2166.48
T2256,2026-01-11,C7893,Beauty,1,294.66,Cash,No,43.0,294.66
T2257,2026-01-11,C2693,Clothing,4,53.92,Cash,Yes,44.0,215.68
T2258,2026-01-11,C4436,Home,6,361.64,Cash,No,63.0,2169.84
T2259,2026-01-11,C9754,Home,9,205.95,Cash,No,71.0,1853.55
T2260,2026-01-11,C6895,Home,2,488.6,Debit Card,No,60.0,977.2
T2261,2026-01-11,C4354,Home,1,413.36,Credit Card,No,44.0,413.36
T2262,2026-01-11,C1225,Grocery,2,266.02,Cash,Yes,59.0,532.04
T2263,2026-01-11,C5893,Beauty,7,70.38,Cash,Yes,68.0,492.66
T2264,2026-01-12,C8022,Clothing,3,431.11,Debit Card,Yes,67.0,1293.33
T2265,2026-01-12,C6600,Clothing,2,401.89,Cash,No,23.0,803.78
T2266,2026-01-12,C8996,Home,7,100.45,Credit Card,No,32.0,703.15
T2267,2026-01-12,C8683,Home,2,154.69,Credit Card,Yes,70.0,309.38
T2268,2026-01-12,C5642,Electronics,3,398.77,Debit Card,Yes,47.0,1196.31
T2269,2026-01-12,C8679,Beauty,7,100.76,E-wallet,Yes,46.72783505154639,705.32
T2270,2026-01-12,C9208,Grocery,4,459.7,Debit Card,No,54.0,1838.8
T2271,2026-01-12,C8339,Clothing,1,218.02,E-wallet,No,54.0,218.02
T2272,2026-01-12,C3205,Electronics,5,52.65,E-wallet,Yes,59.0,263.25
T2273,2026-01-12,C2069,Electronics,9,409.72,E-wallet,Yes,54.0,3687.48
T2274,2026-01-12,C4444,Clothing,8,193.02,Cash,Yes,52.0,1544.16
T2275,2026-01-12,C2060,Grocery,9,267.98,Debit Card,No,40.0,2411.82
T2276,2026-01-12,C3327,Electronics,9,65.03,E-wallet,No,23.0,585.27
T2277,2026-01-12,C4420,Electronics,7,11.27,Credit Card,No,21.0,78.89
T2278,2026-01-12,C1301,Beauty,4,322.61,Cash,Yes,35.0,1290.44
T2279,2026-01-12,C1606,Grocery,5,262.44,Debit Card,Yes,26.0,1312.2
T2280,2026-01-12,C4170,Electronics,1,300.83,E-wallet,No,66.0,300.83
T2281,2026-01-12,C1699,Grocery,1,398.93,Credit Card,Yes,46.0,398.93
T2282,2026-01-12,C6088,Clothing,3,326.84,Debit Card,No,30.0,980.52
T2283,2026-01-12,C1190,Home,8,95.64,Debit Card,Yes,64.0,765.12
T2284,2026-01-12,C1980,Electronics,2,186.78,Cash,Yes,69.0,373.56
T2285,2026-01-12,C3975,Beauty,4,453.89,Debit Card,Yes,34.0,1815.56
T2286,2026-01-12,C7102,Clothing,2,387.27,Cash,Yes,62.0,774.54
T2287,2026-01-12,C2184,Grocery,5,282.75,E-wallet,No,49.0,1413.75
T2288,2026-01-13,C4327,Clothing,9,135.27,Cash,Yes,65.0,1217.43
T2289,2026-01-13,C4394,Electronics,1,158.01,Credit Card,No,39.0,158.01
T2290,2026-01-13,C9319,Grocery,5,368.66,Cash,No,21.0,1843.3
T2291,2026-01-13,C2816,Home,9,427.08,Credit Card,No,22.0,3843.72
T2292,2026-01-13,C6854,Clothing,1,339.0,Cash,Yes,54.0,339.0
T2293,2026-01-13,C7709,Electronics,9,406.67,Debit Card,No,58.0,3660.03
T2294,2026-01-13,C1569,Beauty,8,385.66,E-wallet,No,66.0,3085.28
T2295,2026-01-13,C6442,Grocery,4,83.35,Credit Card,No,30.0,333.4
T2296,2026-01-13,C2895,Clothing,5,217.73,Cash,Yes,51.0,1088.65
T2297,2026-01-13,C3733,Clothing,5,84.96,Cash,Yes,62.0,424.8
T2298,2026-01-13,C4863,Home,6,125.27,Cash,No,39.0,751.62
T2299,2026-01-13,C8455,Home,7,435.94,Debit Card,Yes,70.0,3051.58
T2300,2026-01-13,C5014,Beauty,8,241.72,Debit Card,No,40.0,1933.76
T2301,2026-01-13,C2686,Beauty,8,272.33,Credit Card,No,68.0,2178.64
T2302,2026-01-13,C4009,Electronics,2,97.44,Credit Card,Yes,20.0,194.88
T2303,2026-01-13,C8806,Electronics,9,163.01,Debit Card,No,59.0,1467.09
T2304,2026-01-13,C1154,Beauty,7,122.82,Debit Card,Yes,51.0,859.74
T2305,2026-01-13,C2409,Beauty,4,111.03,E-wallet,Yes,49.0,444.12
T2306,2026-01-13,C1784,Grocery,4,322.6,E-wallet,No,62.0,1290.4
T2307,2026-01-13,C9096,Home,8,135.87,Debit Card,Yes,68.0,1086.96
T2308,2026-01-13,C8560,Electronics,4,319.69,Credit Card,Yes,66.0,1278.76
T2309,2026-01-13,C8343,Home,6,38.64,Cash,No,38.0,231.84
T2310,2026-01-13,C8206,Home,5,79.47,E-wallet,No,63.0,397.35
T2311,2026-01-13,C6596,Beauty,3,144.52,Debit Card,Yes,61.0,433.56
T2312,2026-01-14,C6801,Grocery,2,302.55,Credit Card,Yes,38.0,605.1
T2313,2026-01-14,C3806,Clothing,9,341.16,Debit Card,No,61.0,3070.44
T2314,2026-01-14,C1537,Grocery,9,226.93,Cash,Yes,28.0,2042.37
T2315,2026-01-14,C6986,Grocery,1,228.44,E-wallet,Yes,56.0,228.44
T2316,2026-01-14,C2841,Home,3,365.01,Debit Card,Yes,21.0,1095.03
T2317,2026-01-14,C9716,Grocery,8,17.75,Debit Card,Yes,68.0,142.0
T2318,2026-01-14,C7971,Electronics,6,177.13,Debit Card,Yes,18.0,1062.78
T2319,2026-01-14,C6625,Home,5,411.17,Cash,Yes,45.0,2055.85
T2320,2026-01-14,C3950,Electronics,5,305.58,Debit Card,Yes,41.0,1527.9
T2321,2026-01-14,C8992,Clothing,6,175.24,Cash,No,52.0,1051.44
T2322,2026-01-14,C5780,Home,7,453.71,Cash,No,30.0,3175.97
T2323,2026-01-14,C3368,Clothing,1,388.59,Cash,No,64.0,388.59
